Page the link is on,Current broken link,Needs to go to,Notes
/photography-workshops-near-me,/contact-alan-ranger-photography,/contact-us-alan-ranger-photography,Exact match - safe swap
/which-photography-style-is-right-for-you,/blogs/mastering-landscape-photography-tips-and-techniques,/blog-on-photography/mastering-landscape-photography-tips-and-techniques,Exact match - safe swap
/photography-services-near-me/four-private-photography-classes,/intentions-course-six-month-photography-project,/photography-courses-coventry,Old course page deleted - point to courses page
/blog-on-photography/photography-concepts-for-beginners,/blog-on-photography/leading-lines-in-photography,/blog-on-photography/what-are-leading-lines-in-photography,Exact match - safe swap
/blog-on-photography/photography-concepts-for-beginners,/blog-on-photography/why-photography-is-an-art-of-observation-a-deep-dive,/blog-on-photography/photography-is-an-art-of-observation,Exact match - safe swap
/blog-on-photography/photography-concepts-for-beginners,/blog-on-photography/composition-in-photography-why-the-camera-isnt-the-artist,/blog-on-photography/mastering-photography-composition-rules,Best-guess match - please confirm
/blog-on-photography/photography-concepts-for-beginners,/blog-on-photography/mastering-exposure-outdoor-photography-exposure-calculator,/blog-on-photography/what-is-exposure-in-photography,Best-guess match - please confirm
/blog-on-photography/histogram-and-exposure-review,/blog-on-photography/what-is-dynamic-range,/blog-on-photography/what-is-dynamic-range-in-photography,Exact match - safe swap
/blog-on-photography/wildlife-photography-practice-assignment-free-lesson,/blog-on-photography/wildlife-photography,/blog-on-photography/,No matching post exists - remove link or use blog index
/blog-on-photography/triptych-project-photography-assignment-free-lesson,/blog-on-photography/triptych-project,/blog-on-photography/,No matching post exists - remove link or use blog index
